pss_score,workload_hours,work_pressure_rating,recovery_sleep_hours,social_support_rating,work_life_balance_rating,shift_continuity_days,recent_trend_indicator,welfare_risk_level,data_label
7.3,38.9,7.1,5.9,4.0,5.5,4.0,-3.6,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
13.9,35.0,4.1,5.8,1.0,6.9,4.0,2.3,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
18.8,53.8,4.9,6.3,5.7,8.4,6.0,-0.0,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
9.4,70.0,3.9,7.5,3.6,5.9,3.0,-4.5,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
20.8,64.4,5.0,4.4,6.1,4.9,2.0,0.8,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
13.5,54.1,8.7,3.8,2.6,2.0,4.0,-1.1,2,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
15.8,47.1,7.1,5.5,6.2,5.2,1.0,-3.0,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
13.5,60.1,7.2,4.2,5.1,7.0,1.0,3.4,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
31.9,42.3,2.7,5.7,9.2,7.3,3.0,0.2,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
17.9,56.8,3.2,6.8,9.0,6.4,1.0,-0.6,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
10.1,57.1,1.0,5.1,7.6,4.3,0.0,-0.8,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
24.2,62.6,3.9,4.5,5.3,1.4,0.0,-3.0,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
8.8,79.6,7.4,6.3,10.0,4.4,3.0,-2.6,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
19.6,55.9,6.5,7.2,2.7,4.8,2.0,2.6,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
3.3,46.9,5.1,4.2,3.1,4.8,5.0,-0.9,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
8.0,51.7,5.5,7.2,5.8,6.6,2.0,0.0,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
19.5,35.0,4.1,7.2,10.0,9.4,2.0,-4.1,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
23.5,45.1,5.9,7.3,5.6,5.6,2.0,-2.6,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
19.3,47.9,7.0,7.7,5.6,5.0,4.0,1.2,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
17.1,46.8,2.3,8.8,3.0,4.9,2.0,0.8,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
15.7,53.5,6.1,5.8,8.0,5.6,12.0,3.5,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
6.9,43.8,7.4,6.3,8.0,3.7,10.0,2.7,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
12.6,63.2,4.7,5.7,7.7,5.6,7.0,-0.5,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
14.5,52.0,6.9,6.2,4.7,6.3,9.0,0.9,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
25.9,51.9,10.0,8.0,4.5,5.8,2.0,-0.6,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
20.6,48.7,5.3,4.6,3.3,6.3,3.0,4.1,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
4.8,53.6,6.3,5.2,6.2,6.3,5.0,2.3,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
20.4,60.3,4.0,7.9,3.7,1.9,4.0,0.3,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
15.1,43.3,5.9,7.4,3.5,6.7,8.0,0.4,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
12.9,45.4,6.4,5.8,5.1,4.1,4.0,2.9,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
22.6,49.0,5.9,7.2,5.0,3.2,21.0,1.2,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
25.7,38.5,3.5,6.6,4.9,3.2,1.0,3.1,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
25.0,43.8,5.9,8.0,7.0,6.3,6.0,-4.4,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
11.7,47.2,8.4,6.3,6.2,5.0,4.0,0.9,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
15.7,60.7,6.4,7.4,5.4,2.0,4.0,-1.0,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
20.5,54.6,7.4,9.0,6.4,6.4,1.0,3.5,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
25.3,53.9,5.0,6.9,3.9,2.5,5.0,3.1,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
14.4,60.5,7.0,6.3,6.2,5.7,8.0,0.1,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
16.6,50.6,6.1,7.1,6.3,5.9,1.0,3.1,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
9.7,55.9,3.6,5.8,2.8,7.2,3.0,3.6,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
9.0,51.0,6.1,9.0,8.1,9.0,2.0,0.1,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
24.1,54.7,3.5,6.4,4.1,2.7,16.0,4.9,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
28.2,46.2,4.2,5.9,6.2,5.3,2.0,-0.1,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
17.5,35.0,5.9,5.2,8.4,4.8,1.0,-0.4,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
25.5,50.7,6.1,7.5,7.9,6.3,2.0,1.7,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
20.7,66.2,3.1,7.2,6.1,5.8,4.0,-0.7,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
13.2,61.3,7.6,5.6,5.2,4.7,0.0,0.2,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
20.7,61.7,6.6,6.9,8.0,4.5,3.0,2.8,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
29.5,64.4,4.1,4.4,7.4,3.2,9.0,0.0,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
17.7,52.9,2.4,6.4,4.7,7.4,7.0,-3.4,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
29.7,54.0,5.2,6.7,4.3,6.3,0.0,0.7,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
0.0,45.8,4.6,8.2,1.6,7.2,18.0,-1.4,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
24.2,48.8,5.7,5.3,6.3,4.8,4.0,1.7,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
18.7,58.2,4.8,4.7,5.8,4.1,1.0,1.4,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
15.8,64.0,1.5,5.1,8.4,3.2,0.0,2.9,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
18.7,50.6,4.7,4.6,6.8,6.1,1.0,1.8,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
3.1,47.5,4.9,7.8,8.8,3.3,6.0,2.2,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
16.4,52.0,6.8,8.1,4.5,9.1,0.0,-1.3,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
20.7,58.0,4.1,6.6,8.4,2.8,1.0,1.6,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
29.1,37.6,8.9,7.7,4.9,5.9,5.0,3.9,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
14.1,35.0,1.7,6.4,7.6,8.5,3.0,-1.4,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
11.9,46.5,8.1,6.1,2.9,6.6,5.0,3.6,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
14.2,39.8,5.1,5.8,6.5,5.8,5.0,-1.1,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
24.9,46.9,7.2,5.8,1.8,3.5,0.0,-1.7,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
20.5,50.5,5.7,4.3,5.4,2.6,8.0,0.6,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
14.0,47.5,7.8,6.5,6.9,6.9,1.0,1.4,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
21.8,66.5,4.7,6.2,4.9,8.4,3.0,1.8,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
18.7,55.3,3.3,7.1,3.8,4.5,4.0,-1.9,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
25.3,55.0,8.3,6.3,7.8,3.1,1.0,0.9,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
12.7,58.2,5.3,6.0,5.8,1.0,13.0,-1.4,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
15.5,40.6,5.9,5.2,5.0,3.4,2.0,-3.0,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
15.1,62.4,8.0,6.3,6.1,5.2,0.0,-1.9,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
7.0,51.2,3.4,7.1,10.0,8.6,10.0,-1.5,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
20.2,58.7,6.7,4.8,8.4,6.7,3.0,1.0,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
20.0,41.3,4.3,6.3,8.4,6.0,4.0,2.3,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
18.0,36.5,5.2,6.5,6.9,4.6,3.0,-2.9,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
16.2,60.2,5.6,5.3,6.3,4.2,6.0,0.7,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
7.4,55.8,2.5,5.5,1.0,8.2,0.0,-2.4,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
14.8,43.0,3.9,6.5,4.6,5.8,1.0,1.3,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
15.4,43.3,8.2,4.8,5.0,1.2,2.0,-1.2,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
12.0,63.3,7.3,6.6,2.1,4.1,0.0,-2.1,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
16.8,40.1,5.4,5.1,3.6,3.7,4.0,1.6,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
21.0,68.4,6.0,7.5,1.8,4.3,2.0,-1.2,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
32.1,43.0,4.9,9.0,5.9,6.5,1.0,-0.6,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
19.3,58.4,8.2,5.2,7.7,5.2,0.0,-4.4,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
19.9,48.7,5.1,6.8,8.3,5.2,4.0,1.9,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
17.4,58.0,6.0,5.3,6.9,8.0,6.0,1.6,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
3.6,46.6,7.8,7.4,4.0,4.0,2.0,0.0,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
17.8,50.4,3.9,4.7,1.9,9.1,3.0,-3.1,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
18.5,52.4,8.6,6.8,2.3,4.1,1.0,2.4,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
36.5,42.0,2.4,5.2,3.3,5.6,3.0,-1.3,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
16.6,59.4,8.8,6.0,4.1,4.8,0.0,-0.9,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
20.3,46.9,4.8,5.0,5.7,5.6,2.0,4.6,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
17.7,49.7,5.0,7.2,3.9,6.3,4.0,-1.4,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
9.2,42.1,1.7,5.2,6.7,6.3,9.0,1.5,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
26.6,35.0,4.6,6.9,5.5,3.9,2.0,1.1,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
23.6,50.1,3.4,5.8,6.0,3.2,5.0,0.8,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
23.9,76.1,4.3,6.1,8.4,10.0,3.0,0.6,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
11.2,59.8,5.2,6.4,3.5,4.4,9.0,0.8,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
28.5,51.8,7.4,5.3,6.9,6.8,2.0,0.5,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
7.5,49.4,5.9,6.5,6.0,2.2,1.0,-0.1,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
22.4,52.2,6.1,8.0,5.3,4.8,8.0,3.0,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
34.4,57.5,3.3,5.3,7.9,5.1,0.0,-2.6,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
10.6,40.2,3.7,7.6,7.8,6.3,1.0,2.0,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
13.8,63.1,9.1,8.0,4.0,1.0,0.0,1.6,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
18.7,59.2,4.0,5.2,5.6,5.7,6.0,1.4,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
14.2,59.2,8.8,4.5,6.6,3.1,0.0,2.2,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
6.4,56.4,5.0,6.6,5.4,6.0,7.0,-0.2,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
18.5,52.2,5.5,5.5,7.2,3.3,2.0,-3.7,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
10.0,58.7,7.6,8.4,6.6,3.7,0.0,-0.1,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
21.6,57.9,8.0,6.2,9.8,4.9,2.0,-2.0,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
11.1,48.5,5.3,5.2,2.8,3.3,1.0,-1.5,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
29.6,46.3,4.7,4.8,5.7,4.4,3.0,-2.5,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
12.1,53.0,5.4,7.5,4.1,3.0,4.0,-1.0,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
15.6,67.5,6.2,5.5,7.3,1.7,2.0,-1.2,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
24.1,39.6,7.3,6.3,2.6,7.4,0.0,-4.8,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
8.8,37.3,5.5,7.3,6.7,2.8,4.0,1.4,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
19.7,53.6,6.7,5.6,4.7,5.0,6.0,4.4,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
27.8,52.5,8.8,6.1,4.5,6.9,4.0,1.2,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
5.9,53.7,6.3,6.2,3.0,4.2,6.0,-0.4,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
19.4,54.4,6.1,7.0,5.0,3.7,1.0,-0.1,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
19.9,49.8,2.5,6.9,8.3,5.9,8.0,-0.8,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
23.9,66.9,1.0,5.9,5.9,7.6,1.0,0.2,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
8.7,36.0,6.3,6.3,7.3,3.1,0.0,-0.1,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
8.1,43.7,5.3,5.8,9.5,5.1,6.0,-1.7,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
21.9,51.0,4.5,4.4,6.6,1.9,10.0,3.4,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
20.2,35.6,6.0,6.5,4.8,4.6,4.0,-3.0,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
19.9,50.2,5.4,8.5,7.0,5.5,1.0,1.4,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
20.6,68.6,7.8,5.1,4.9,3.7,1.0,-0.2,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
12.9,52.2,5.7,5.3,4.9,4.5,2.0,3.8,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
19.7,54.3,4.0,5.2,2.8,2.6,8.0,0.7,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
20.2,39.4,7.5,7.1,7.9,5.6,1.0,-0.7,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
12.6,45.8,5.1,6.7,5.2,7.5,6.0,-0.5,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
32.0,48.2,6.6,6.0,6.4,3.2,1.0,0.1,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
21.6,48.8,4.5,5.1,3.8,4.2,6.0,-2.3,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
9.1,64.8,4.2,6.3,6.9,6.4,9.0,-1.5,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
22.9,57.6,5.7,4.3,4.4,7.8,2.0,-3.6,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
10.7,40.9,5.5,6.4,5.7,2.4,2.0,-1.8,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
23.9,54.5,6.5,7.2,7.8,5.1,6.0,0.2,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
26.7,57.0,5.0,4.7,7.7,6.0,3.0,0.6,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
11.8,63.4,1.8,4.4,6.0,5.2,4.0,-4.0,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
25.2,67.8,4.6,8.1,2.3,1.0,3.0,-0.3,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
21.1,41.8,7.1,5.5,10.0,6.4,1.0,1.1,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
24.2,43.9,4.9,7.6,9.7,8.4,7.0,-0.3,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
32.2,39.4,5.0,6.0,7.5,5.6,1.0,-1.3,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
16.2,49.7,7.5,6.0,4.4,3.3,9.0,-0.8,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
12.3,56.7,4.1,6.7,5.8,4.4,1.0,-1.1,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
11.3,61.9,2.4,5.1,4.9,8.9,5.0,-1.3,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
11.9,51.2,5.2,6.4,8.7,7.2,1.0,0.3,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
17.4,48.8,4.5,5.7,6.6,6.7,1.0,4.6,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
20.6,53.5,3.6,4.6,4.4,6.1,1.0,-1.5,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
20.1,43.6,5.1,6.6,5.0,4.1,5.0,-0.6,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
24.2,72.9,6.5,5.9,8.4,5.0,3.0,-0.1,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
18.1,35.9,5.5,6.0,9.4,5.2,8.0,-1.4,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
28.9,53.8,6.1,4.7,9.2,6.5,1.0,2.2,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
16.0,72.2,9.1,8.1,7.6,8.4,4.0,-4.7,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
38.4,52.1,4.8,7.3,5.5,7.6,5.0,-1.1,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
22.7,50.1,6.1,7.4,1.0,2.6,1.0,1.6,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
11.6,48.4,4.5,5.8,6.6,5.8,2.0,-0.6,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
10.0,50.2,3.8,4.1,6.0,6.9,2.0,-1.6,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
21.6,65.7,4.3,8.5,6.3,6.6,2.0,0.9,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
16.3,35.0,4.5,6.1,6.1,4.1,1.0,1.8,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
23.4,67.3,6.2,5.3,3.2,10.0,4.0,0.4,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
21.5,37.8,10.0,6.7,7.2,2.8,1.0,-1.6,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
17.5,49.3,4.1,7.6,7.3,3.2,4.0,0.9,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
11.6,47.7,4.7,6.2,7.4,5.9,10.0,-0.8,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
6.6,57.9,5.4,7.7,8.0,9.6,3.0,1.5,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
14.7,36.0,6.3,7.5,7.3,3.7,3.0,3.0,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
24.4,56.6,6.0,4.9,5.1,4.9,0.0,-5.0,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
19.6,72.2,8.1,5.4,5.9,7.6,7.0,0.2,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
8.7,38.4,1.0,7.3,6.2,5.4,1.0,-3.5,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
19.3,53.9,1.0,3.5,6.2,4.7,3.0,4.9,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
20.9,45.4,4.5,6.0,8.1,6.5,14.0,-0.9,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
11.4,56.3,7.7,4.5,7.4,5.9,3.0,1.5,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
19.2,52.2,2.4,5.6,10.0,7.5,5.0,-0.1,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
18.4,45.6,1.0,5.8,10.0,8.0,2.0,-1.6,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
9.4,56.9,6.6,5.8,6.2,6.0,0.0,-1.8,0,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
20.7,70.0,6.0,5.5,1.0,6.0,6.0,3.2,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
22.2,50.1,3.3,4.9,8.6,5.8,0.0,1.9,1,DEMO / SYNTHETIC DATA — NOT REAL PERSONNEL DATA
